Chris Brimhall	The Life and Times of Jacob Flynn	2012
Wes Miller	Hell on the Border	2019
Carolina Venturelli	Far-West Amazônia	2012
Erwan Massiot	Far-West Amazônia	2012
Diego Enrique Osorno	Vaquero del mediodía	2019
Meredith Mantik	Parallax	2015
Christopher Martin	Reckless Abandon	2013
Monika Brandl	Und sie kehrten niemals wieder	2013
Sergio Coyote	El coyote	2012
Randall LaRue	Saratoga Lights	2018
Bryan C. Goff	Bloody Border	2013
James Monahan	Where the Trail Meets the Sky	2013
Sebastien de Buyl	Lone Wolf	2012
David Colon	Possessions	2013
Bryn McKay	Eyes of the Moon	2015
Francisco Joaquín Paparella	Zanjas	2015
Shea Sizemore	County Line	2017
Eduardo Castrillo	The Last Wolf of Ezo	2015
Matthew Scott King	Boomtown	2013
Joe Black	Hate Horses	2017
Kamran Heidari	Man Negahdar Jamali Western Misazam	2012
Rahul Dey	Light Shade Red	2012
William Parker	The Trail	2013
Sharlene Humm	Of Myth & Legend	2021
Jesse Mast	Kid West	2017
Tom Smith	Marshal Law: Insurrection	2018
Justin Robert Vinall	Buried State	2016
Chip Baker	The Bounty Killer	2018
Tom Block	Mosquito: A Fistful of Bitcoins	2015
William Leith	Bullies: The Benediction	2013
Emmanuel Icaza	Ravenwood	2012
Juan Schmidt	Polvareda	2013
Gonzalo de Miceu	La gente del sol	2013
Nicolás Lira	La gente del sol	2013
Tony London	Gunfight at Silver Creek	2020
Tony London	The Frontiersman	2018
Stephen R. Reynolds	Tumbleweed	2019
Vanessa Ionta Wright	The Badge, the Gun & the Hangman's Noose	2021
Malcolm King-Fontana	Too Close to the Raven	2014
Isaac Medeiros	Cold Chains, Hard Hearts and Bloody Hands	2016
Isaac Medeiros	Bring Me the Head of Trapper Flint	2017
Kier Atherton	Love Like Gold	2015
Michael Butts	Potter's Ground	2020
Andres Caballero	Gaucho del Norte	2015
Robert Towne	Oro del Diablo	2013
Jose Luis Isoard	Bosco	2017
Chris Young	Brimstone Saint	2020
Nicholas Engan	Kandiyohi	2014
Jose Orosco	Akecheta	2014
Joey Orosco	Akecheta	2014
Chaz Lee	Black Mountain	2020
Michael Bennett Weisman	Bannock	2014
McHenry Taylor	Elsewhere, TX	2018
David Daenemark	Welcome to the First Republic	2014
Graham L. Carter	Shoot the Moon Right Between the Eyes	2018
Anna de Manincor	Steadfast on Our Sand	2015
Rosario Neri	Colomba Legend	2019
William Booth	1870 Texas	2014
Victoria Sutton	Court Martial of Apache Kid	2018
Divine Femininity	Eyes of the Moon	2015
Sheilah Bright	Lone Man's Land	2015
Kevin T. Allen	Real West	2014
Cecilia Zoppelletto	La Belle at the Movies	2016
Christopher Kirkley	Zerzura	2017
Gabriela Kouras	Horizon	2015
Ducon Williams	Heart River	2014
Juan Alonso	El Bandido Cucaracha	2015
Héctor Pisa	El Bandido Cucaracha	2015
Nathaniel Dunaway	Misfortune County	2015
Dmytro Zakharevych	The Road to the West	2015
Mark Meyers	The Devil Came Up From Texas	2016
Sam Meyers	The Devil Came Up From Texas	2016
David Cinnella	Tek	2017
Aaron Sears	Soul of Silas	2015
Jamey Bartley	Soul of Silas	2015
Diego Bonuccelli	Welcome to Elderstorm	2014
Richard Johanson	The Lone Hunter	2016
Dana Celeste Robinson	In Search of Doc Holliday	2016
Arin Moletin	Medicine Bow	2016
J. Carlos Portela	Earth Without War	2017
Justin Bullock	The Wanderer	2016
Adam Ciller	Medicine Bow	2016
Manuel Alejandro Vargas	Chance and Circumstance	2020
Hans Matos Camac	Pueblo Viejo	2015
Stéphane Ciantar	Bloodsun: Dark West	2017
Dan Girmus	Oyate	2016
Ephraim Strain	Return to Zion Ranch	2017
John Plocher	Return to Zion Ranch	2017
Lisa Huston	Bloodlines of the West	2021
Tian Xie	West of nowhere	2018
Aaron Mitton	Gobo Fango	2019
Diego García-Huidobro	American Huaso	2018
John Thornton Caldwell	Land Hacks: Masculine Media Anxiety Disorder - or 55 Film Locations Near Bakersfield	2018
Anna Rispoli	Steadfast on Our Sand	2015
Marino Darés	Nubes Rojas	2016
Stefan Ruf	Sex Terrorists on Wheels	2019
Stefan Ruf	One by One	2016
Blanca Aguerre	Lupe el de la Vaca	2012
Nick Sarkisov	Krasny	2016
Claudio Castro	La muerte del hombre muerto	2014
Eva Castro	La muerte del hombre muerto	2014
Patrick Merz	Adamstown	2019
Henning Wötzel-Herber	Adamstown	2019
Michael Anthony Giudicissi	30 Seconds in Hell	2020
Michael Anthony Giudicissi	In Their Own Words, Billy the Kid & The Lincoln County War	2019
Pedro Antonio Gutiérrez	Santa Clara	2019
Oier Martínez de Santos	Algo más que morir	2014
Belton McMurrey	The Kingfisher	2015
Robert Lundahl	The Killing of Kokopili	2017
Craig Hard	Directions to Your Room	2018
Aykan Yucel Irwins	Witness Last Grave	2019
